17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.contoller.application.ComponentDataController
17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.contoller.application.FunctionController
17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.contoller.application.LanguageController
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.contoller.LoginController
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.contoller.niveau.access.NiveauAccessController
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.contoller.niveau.access.RoleController
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.contoller.RestDocController
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.contoller.ServerSetupController
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.contoller.tools.HttpSessionVars
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.contoller.user.adin.UsersController
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.contoller.usertype.UserTypeController
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.metier.AppService
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.model.aoth.MNG_NIVEAU_ACCEE
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.model.aoth.MNG_PACK
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.model.aoth.MNG_PROGRAM
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.model.aoth.MNG_REGLES
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.model.aoth.MNG_USER
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.model.component.MNG_COMPOSANT
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.model.component.MNG_COMPOSANT_DATA
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.model.component.v1.MNG_APPLICATION
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.model.component.v1.MNG_FONCTION
17:43:33.670 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.model.component.v1.MNG_MENU
17:43:33.671 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.ServerConfig$$EnhancerBySpringCGLIB$$e2fc7084
17:43:33.671 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.service.MyUserService
17:43:33.671 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.SpringAuthenticationSuccessHandler
17:43:33.671 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.SSLConfig$$EnhancerBySpringCGLIB$$5279aa77
17:43:33.671 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$7b11fa49
17:43:33.671 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor
17:43:33.671 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.config.annotation.authentication.configuration.AuthenticationConfiguration$$EnhancerBySpringCGLIB$$c6db04be
